year,month,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
1985,1,12.0,-3.5,5.6,0.2,66.5,-8.0,9.2,48,54.1
1985,2,12.3,-4.0,7.3,2.7,52.0,-9.0,11.7,45,73.3
1985,3,14.7,-2.4,9.0,2.3,72.5,-5.6,11.1,44,116.4
1985,4,17.1,-0.8,12.5,4.9,40.2,-3.5,11.5,48,137.3
1985,5,18.4,1.7,13.7,6.9,70.1,-1.0,8.2,39,158.8
1985,6,19.8,3.0,15.9,8.1,78.5,2.0,7.9,35,171.5
1985,7,22.2,7.8,18.8,11.3,107.2,5.5,8.3,38,124.9
1985,8,21.4,7.0,16.9,10.1,124.6,3.7,10.9,56,141.2
1985,9,23.9,5.6,18.1,11.0,38.2,4.6,8.7,46,121.6
1985,10,20.0,3.8,14.1,8.0,19.7,-1.0,6.4,46,74.2
1985,11,14.4,-2.9,8.1,1.5,33.5,-8.0,9.5,43,95.2
1985,12,16.2,-5.1,9.6,4.4,72.4,-7.1,11.6,53,51.9
1986,1,13.0,-3.8,7.3,1.5,103.4,-6.5,14.2,53,66.6
1986,2,5.7,-4.5,3.6,-0.1,10.2,-9.3,12.8,42,65.8
1986,3,14.6,-5.4,9.5,2.5,64.7,-9.4,14.0,61,128.8
1986,4,14.4,-1.1,9.5,2.4,48.2,-4.7,10.8,45,159.5
1986,5,17.9,2.8,14.0,6.8,62.5,-0.5,12.5,58,174.6
1986,6,21.9,3.9,17.4,9.7,82.1,1.6,7.9,43,176.6
1986,7,25.2,7.0,18.1,11.4,57.5,4.8,8.2,37,93.4
1986,8,19.8,4.1,15.8,8.6,158.7,2.4,9.2,55,140.3
1986,9,21.5,2.1,15.9,7.7,3.6,-1.2,7.2,41,195.4
1986,10,20.0,2.5,14.3,7.0,57.0,-1.9,10.0,54,129.5
1986,11,14.6,-1.0,10.9,4.3,102.2,-3.0,12.9,54,87.2
1986,12,14.2,-2.1,9.2,2.8,71.8,-5.1,13.6,51,60.5
1987,1,11.1,-5.2,6.1,1.6,36.6,-8.4,9.5,48,44.4
1987,2,14.6,-4.2,8.2,1.9,34.5,-7.2,8.9,57,68.4
1987,3,15.3,-2.6,8.6,1.9,56.6,-5.5,11.4,60,89.3
1987,4,20.5,0.4,13.2,5.8,71.8,-4.0,8.9,39,115.3
